"sn","date","branch","pizza_sold","category","price","quantity","timevalue","time_range","total_sales"
1229,"2015-12-12","Ikoyi","Italiano","Tomato/Cheese","3000",4,"08:33:53","Morning to Afternoon","12000"
1230,"2015-12-09","Gbagada","Chicken Legend","Chicken","2000",5,"08:33:53","Morning to Afternoon","10000"
1231,"2015-12-10","Surulere","Chicken Feast","Chicken","2000",2,"08:33:56","Morning to Afternoon","4000"
1232,"2015-12-09","Lekki","Italiano","Tomato/Cheese","3000",2,"08:34:02","Morning to Afternoon","6000"
1233,"2015-12-03","Ikoyi","Chicken Feast","Chicken","2000",2,"08:34:03","Morning to Afternoon","4000"
1234,"2015-12-08","Surulere","Pepperoni Suya","Pepperoni/Beef","3000",2,"08:34:03","Morning to Afternoon","6000"
1683,"2015-12-03","Lekki","Beef Suya","Beef","3000",3,"08:44:35","Morning to Afternoon","9000"
1235,"2015-12-11","Ikoyi","Chicken Bali","Chicken","2000",1,"08:34:04","Morning to Afternoon","2000"
1236,"2015-12-12","Lekki","Italiano","Tomato/Cheese","3000",4,"08:34:07","Morning to Afternoon","12000"
1237,"2015-12-06","Lekki","Extravaganza","Pepperoni/Beef","2000",4,"08:34:08","Morning to Afternoon","8000"
1238,"2015-12-13","Lekki","Chicken Suya","Chicken","4000",2,"08:34:08","Morning to Afternoon","8000"
1239,"2015-12-03","Gbagada","Italiano","Tomato/Cheese","3000",3,"08:34:09","Morning to Afternoon","9000"
1240,"2015-12-15","Ibadan","Hot Pepperoni Feast","Salami","4000",3,"08:34:14","Morning to Afternoon","12000"
1241,"2015-12-15","Gbagada","Chicken Bali","Chicken","2000",1,"08:34:17","Morning to Afternoon","2000"
1242,"2015-12-14","Surulere","Chicken Bali","Chicken","2000",1,"08:34:17","Morning to Afternoon","2000"
1243,"2015-12-03","Surulere","Chicken Feast","Chicken","2000",3,"08:34:21","Morning to Afternoon","6000"
1244,"2015-12-15","Lekki","BBQ Chicken","Chicken","4000",4,"08:34:22","Morning to Afternoon","16000"
1245,"2015-12-13","Lekki","Pepperoni Suya","Pepperoni/Beef","3000",5,"08:34:24","Morning to Afternoon","15000"
1246,"2015-12-06","Surulere","Italiano","Tomato/Cheese","3000",3,"08:34:24","Morning to Afternoon","9000"
1247,"2015-12-05","Ikoyi","Beef Suya","Beef","3000",5,"08:34:25","Morning to Afternoon","15000"
1248,"2015-12-05","Ikoyi","Extravaganza","Pepperoni/Beef","2000",5,"08:34:28","Morning to Afternoon","10000"
1249,"2015-12-03","Ibadan","Chicken Suya","Chicken","4000",3,"08:34:28","Morning to Afternoon","12000"
1250,"2015-12-04","Gbagada","Beef Suya","Beef","3000",4,"08:34:29","Morning to Afternoon","12000"
1251,"2015-12-09","Surulere","Pepperoni Feast","Salami","4000",3,"08:34:29","Morning to Afternoon","12000"
1252,"2015-12-10","Gbagada","Margarita","Vegetable","4000",2,"08:34:32","Morning to Afternoon","8000"
1253,"2015-12-09","Ibadan","Extravaganza","Pepperoni/Beef","2000",4,"08:34:33","Morning to Afternoon","8000"
1254,"2015-12-15","Gbagada","Pepperoni Suya","Pepperoni/Beef","3000",4,"08:34:33","Morning to Afternoon","12000"
1255,"2015-12-14","Gbagada","Meatzaa","Beef","2000",1,"08:34:34","Morning to Afternoon","2000"
1256,"2015-12-12","Lekki","Veggie Supreme","Vegetable","3000",4,"08:34:35","Morning to Afternoon","12000"
1257,"2015-12-05","Gbagada","Margarita","Vegetable","4000",4,"08:34:37","Morning to Afternoon","16000"
1258,"2015-12-11","Surulere","Pepperoni Suya","Pepperoni/Beef","3000",2,"08:34:37","Morning to Afternoon","6000"
1259,"2015-12-10","Ikoyi","Chicken Legend","Chicken","2000",1,"08:34:42","Morning to Afternoon","2000"
1260,"2015-12-15","Lekki","Hot Veggie","Vegetable","4000",2,"08:34:43","Morning to Afternoon","8000"
1261,"2015-12-08","Gbagada","Veggie Supreme","Vegetable","3000",4,"08:34:45","Morning to Afternoon","12000"
1262,"2015-12-14","Ibadan","Chicken Suya","Chicken","4000",4,"08:34:46","Morning to Afternoon","16000"
1263,"2015-12-13","Lekki","Pepperoni Suya","Pepperoni/Beef","3000",3,"08:34:47","Morning to Afternoon","9000"
1264,"2015-12-11","Ikoyi","Hot Veggie","Vegetable","4000",2,"08:34:48","Morning to Afternoon","8000"
1265,"2015-12-04","Lekki","Chicken Legend","Chicken","2000",1,"08:34:48","Morning to Afternoon","2000"
1266,"2015-12-12","Gbagada","Hot Veggie","Vegetable","4000",5,"08:34:49","Morning to Afternoon","20000"
1267,"2015-12-14","Ibadan","Chicken Suya","Chicken","4000",3,"08:34:49","Morning to Afternoon","12000"
1268,"2015-12-12","Lekki","Chicken Legend","Chicken","2000",3,"08:34:56","Morning to Afternoon","6000"
1269,"2015-12-08","Ikoyi","Chicken Bali","Chicken","2000",2,"08:34:57","Morning to Afternoon","4000"
1270,"2015-12-10","Ikoyi","Hot Veggie","Vegetable","4000",3,"08:34:59","Morning to Afternoon","12000"
1271,"2015-12-06","Ikoyi","Pepperoni Feast","Salami","4000",4,"08:35:00","Morning to Afternoon","16000"
1272,"2015-12-07","Lekki","Italiano","Tomato/Cheese","3000",2,"08:35:01","Morning to Afternoon","6000"
1273,"2015-12-11","Lekki","Chicken Bali","Chicken","2000",3,"08:35:03","Morning to Afternoon","6000"
1274,"2015-12-10","Surulere","Veggie Supreme","Vegetable","3000",3,"08:35:04","Morning to Afternoon","9000"
1275,"2015-12-09","Gbagada","Chicken Legend","Chicken","2000",4,"08:35:07","Morning to Afternoon","8000"
1276,"2015-12-11","Gbagada","Chicken Legend","Chicken","2000",4,"08:35:09","Morning to Afternoon","8000"
1277,"2015-12-05","Lekki","Margarita","Vegetable","4000",4,"08:35:10","Morning to Afternoon","16000"
1278,"2015-12-14","Surulere","BBQ Chicken","Chicken","4000",1,"08:35:12","Morning to Afternoon","4000"
1279,"2015-12-07","Surulere","Meatzaa","Beef","2000",2,"08:35:13","Morning to Afternoon","4000"
1280,"2015-12-12","Lekki","Pepperoni Suya","Pepperoni/Beef","3000",4,"08:35:14","Morning to Afternoon","12000"
1281,"2015-12-09","Gbagada","BBQ Chicken","Chicken","4000",2,"08:35:15","Morning to Afternoon","8000"
1282,"2015-12-05","Ibadan","BBQ Chicken","Chicken","4000",4,"08:35:17","Morning to Afternoon","16000"
1283,"2015-12-09","Lekki","Hot Veggie","Vegetable","4000",1,"08:35:19","Morning to Afternoon","4000"
1284,"2015-12-14","Gbagada","Pepperoni Suya","Pepperoni/Beef","3000",1,"08:35:19","Morning to Afternoon","3000"
1285,"2015-12-05","Surulere","Pepperoni Suya","Pepperoni/Beef","3000",1,"08:35:19","Morning to Afternoon","3000"
1286,"2015-12-14","Gbagada","Chicken Bali","Chicken","2000",2,"08:35:21","Morning to Afternoon","4000"
1287,"2015-12-13","Gbagada","Meatzaa","Beef","2000",1,"08:35:21","Morning to Afternoon","2000"
1288,"2015-12-11","Gbagada","Italiano","Tomato/Cheese","3000",2,"08:35:26","Morning to Afternoon","6000"
1289,"2015-12-05","Lekki","BBQ Philly Steak","Beef","4000",3,"08:35:26","Morning to Afternoon","12000"
1290,"2015-12-15","Ikoyi","Italiano","Tomato/Cheese","3000",4,"08:35:27","Morning to Afternoon","12000"
1291,"2015-12-14","Ikoyi","Hot Veggie","Vegetable","4000",4,"08:35:30","Morning to Afternoon","16000"
1292,"2015-12-07","Gbagada","Beef Suya","Beef","3000",2,"08:35:31","Morning to Afternoon","6000"
1293,"2015-12-10","Ibadan","Pepperoni Feast","Salami","4000",1,"08:35:31","Morning to Afternoon","4000"
1294,"2015-12-12","Ikoyi","Italiano","Tomato/Cheese","3000",1,"08:35:35","Morning to Afternoon","3000"
1295,"2015-12-08","Surulere","Chicken Feast","Chicken","2000",4,"08:35:36","Morning to Afternoon","8000"
1296,"2015-12-15","Lekki","Pepperoni Feast","Salami","4000",1,"08:35:36","Morning to Afternoon","4000"
1297,"2015-12-03","Gbagada","BBQ Philly Steak","Beef","4000",1,"08:35:36","Morning to Afternoon","4000"
1298,"2015-12-12","Gbagada","Hot Pepperoni Feast","Salami","4000",5,"08:35:37","Morning to Afternoon","20000"
1299,"2015-12-08","Surulere","Beef Suya","Beef","3000",3,"08:35:38","Morning to Afternoon","9000"
1300,"2015-12-09","Lekki","Chicken Feast","Chicken","2000",1,"08:35:39","Morning to Afternoon","2000"
1301,"2015-12-10","Ikoyi","Meatzaa","Beef","2000",2,"08:35:43","Morning to Afternoon","4000"
1302,"2015-12-13","Gbagada","Italiano","Tomato/Cheese","3000",1,"08:35:44","Morning to Afternoon","3000"
1303,"2015-12-10","Lekki","Chicken Bali","Chicken","2000",5,"08:35:44","Morning to Afternoon","10000"
1304,"2015-12-11","Ikoyi","Chicken Suya","Chicken","4000",5,"08:35:48","Morning to Afternoon","20000"
1305,"2015-12-14","Gbagada","Veggie Supreme","Vegetable","3000",5,"08:35:50","Morning to Afternoon","15000"
1306,"2015-12-12","Surulere","BBQ Chicken","Chicken","4000",2,"08:35:51","Morning to Afternoon","8000"
1307,"2015-12-13","Lekki","Pepperoni Feast","Salami","4000",2,"08:35:53","Morning to Afternoon","8000"
1308,"2015-12-06","Surulere","Meatzaa","Beef","2000",1,"08:35:54","Morning to Afternoon","2000"
1833,"2015-12-08","Lekki","Meatzaa","Beef","2000",1,"08:47:52","Morning to Afternoon","2000"
1309,"2015-12-12","Surulere","Italiano","Tomato/Cheese","3000",2,"08:35:56","Morning to Afternoon","6000"
1310,"2015-12-11","Lekki","Hot Pepperoni Feast","Salami","4000",1,"08:35:56","Morning to Afternoon","4000"
1311,"2015-12-11","Surulere","Meatzaa","Beef","2000",2,"08:35:57","Morning to Afternoon","4000"
1312,"2015-12-10","Ikoyi","Extravaganza","Pepperoni/Beef","2000",2,"08:35:58","Morning to Afternoon","4000"
1313,"2015-12-10","Gbagada","Pepperoni Feast","Salami","4000",3,"08:35:58","Morning to Afternoon","12000"
1314,"2015-12-12","Surulere","Pepperoni Feast","Salami","4000",1,"08:35:58","Morning to Afternoon","4000"
1315,"2015-12-03","Surulere","Hot Veggie","Vegetable","4000",1,"08:35:59","Morning to Afternoon","4000"
1316,"2015-12-15","Surulere","Beef Suya","Beef","3000",3,"08:35:59","Morning to Afternoon","9000"
1317,"2015-12-08","Ikoyi","BBQ Chicken","Chicken","4000",2,"08:36:00","Morning to Afternoon","8000"
1318,"2015-12-08","Ibadan","Chicken Legend","Chicken","2000",1,"08:36:01","Morning to Afternoon","2000"
1319,"2015-12-10","Ibadan","Beef Suya","Beef","3000",3,"08:36:03","Morning to Afternoon","9000"
1320,"2015-12-07","Ikoyi","Veggie Supreme","Vegetable","3000",1,"08:36:05","Morning to Afternoon","3000"
1321,"2015-12-09","Lekki","Chicken Feast","Chicken","2000",3,"08:36:06","Morning to Afternoon","6000"
1322,"2015-12-08","Surulere","Meatzaa","Beef","2000",5,"08:36:09","Morning to Afternoon","10000"
1323,"2015-12-04","Gbagada","Hot Pepperoni Feast","Salami","4000",5,"08:36:11","Morning to Afternoon","20000"
1324,"2015-12-08","Gbagada","Chicken Legend","Chicken","2000",3,"08:36:11","Morning to Afternoon","6000"
1325,"2015-12-12","Surulere","Chicken Legend","Chicken","2000",5,"08:36:13","Morning to Afternoon","10000"
1326,"2015-12-13","Lekki","Margarita","Vegetable","4000",3,"08:36:14","Morning to Afternoon","12000"
1327,"2015-12-03","Ibadan","Italiano","Tomato/Cheese","3000",1,"08:36:16","Morning to Afternoon","3000"
1328,"2015-12-13","Ibadan","Hot Pepperoni Feast","Salami","4000",5,"08:36:17","Morning to Afternoon","20000"
1329,"2015-12-03","Lekki","Pepperoni Suya","Pepperoni/Beef","3000",2,"08:36:17","Morning to Afternoon","6000"
1330,"2015-12-12","Lekki","Hot Veggie","Vegetable","4000",4,"08:36:19","Morning to Afternoon","16000"
1331,"2015-12-12","Gbagada","BBQ Chicken","Chicken","4000",3,"08:36:20","Morning to Afternoon","12000"
1332,"2015-12-05","Surulere","BBQ Philly Steak","Beef","4000",4,"08:36:21","Morning to Afternoon","16000"
1333,"2015-12-09","Ibadan","BBQ Philly Steak","Beef","4000",2,"08:36:22","Morning to Afternoon","8000"
1334,"2015-12-12","Lekki","Veggie Supreme","Vegetable","3000",1,"08:36:23","Morning to Afternoon","3000"
1335,"2015-12-06","Gbagada","Beef Suya","Beef","3000",5,"08:36:23","Morning to Afternoon","15000"
1336,"2015-12-13","Gbagada","Hot Veggie","Vegetable","4000",5,"08:36:24","Morning to Afternoon","20000"
1337,"2015-12-08","Surulere","Chicken Bali","Chicken","2000",4,"08:36:25","Morning to Afternoon","8000"
1338,"2015-12-06","Gbagada","Veggie Supreme","Vegetable","3000",5,"08:36:26","Morning to Afternoon","15000"
1339,"2015-12-04","Gbagada","BBQ Philly Steak","Beef","4000",4,"08:36:26","Morning to Afternoon","16000"
1340,"2015-12-09","Ibadan","BBQ Philly Steak","Beef","4000",3,"08:36:27","Morning to Afternoon","12000"
1341,"2015-12-07","Ikoyi","BBQ Philly Steak","Beef","4000",3,"08:36:27","Morning to Afternoon","12000"
1342,"2015-12-08","Surulere","Italiano","Tomato/Cheese","3000",5,"08:36:27","Morning to Afternoon","15000"
1343,"2015-12-09","Lekki","Hot Pepperoni Feast","Salami","4000",5,"08:36:29","Morning to Afternoon","20000"
1344,"2015-12-11","Lekki","BBQ Philly Steak","Beef","4000",5,"08:36:29","Morning to Afternoon","20000"
1345,"2015-12-07","Ibadan","Meatzaa","Beef","2000",4,"08:36:29","Morning to Afternoon","8000"
1346,"2015-12-13","Gbagada","Italiano","Tomato/Cheese","3000",3,"08:36:32","Morning to Afternoon","9000"
1347,"2015-12-05","Gbagada","BBQ Chicken","Chicken","4000",3,"08:36:34","Morning to Afternoon","12000"
1348,"2015-12-14","Surulere","Chicken Suya","Chicken","4000",5,"08:36:34","Morning to Afternoon","20000"
1349,"2015-12-14","Gbagada","Chicken Feast","Chicken","2000",1,"08:36:34","Morning to Afternoon","2000"
1350,"2015-12-08","Gbagada","Chicken Suya","Chicken","4000",2,"08:36:35","Morning to Afternoon","8000"
1351,"2015-12-04","Surulere","Beef Suya","Beef","3000",1,"08:36:36","Morning to Afternoon","3000"
1352,"2015-12-07","Ibadan","BBQ Chicken","Chicken","4000",5,"08:36:36","Morning to Afternoon","20000"
1353,"2015-12-12","Lekki","Pepperoni Feast","Salami","4000",5,"08:36:37","Morning to Afternoon","20000"
1354,"2015-12-15","Gbagada","Margarita","Vegetable","4000",2,"08:36:41","Morning to Afternoon","8000"
1355,"2015-12-10","Gbagada","Chicken Feast","Chicken","2000",4,"08:36:41","Morning to Afternoon","8000"
1356,"2015-12-09","Lekki","Chicken Legend","Chicken","2000",5,"08:36:44","Morning to Afternoon","10000"
1357,"2015-12-11","Ikoyi","Chicken Bali","Chicken","2000",1,"08:36:45","Morning to Afternoon","2000"
1358,"2015-12-03","Surulere","Margarita","Vegetable","4000",3,"08:36:55","Morning to Afternoon","12000"
1359,"2015-12-07","Ibadan","Chicken Feast","Chicken","2000",4,"08:36:56","Morning to Afternoon","8000"
1360,"2015-12-10","Gbagada","Beef Suya","Beef","3000",2,"08:36:56","Morning to Afternoon","6000"
1361,"2015-12-11","Ibadan","Italiano","Tomato/Cheese","3000",4,"08:37:00","Morning to Afternoon","12000"
1362,"2015-12-07","Surulere","Extravaganza","Pepperoni/Beef","2000",4,"08:37:01","Morning to Afternoon","8000"
1363,"2015-12-12","Ibadan","Beef Suya","Beef","3000",4,"08:37:03","Morning to Afternoon","12000"
1364,"2015-12-04","Gbagada","Chicken Suya","Chicken","4000",1,"08:37:03","Morning to Afternoon","4000"
1365,"2015-12-08","Surulere","Hot Pepperoni Feast","Salami","4000",5,"08:37:04","Morning to Afternoon","20000"
1366,"2015-12-08","Ibadan","Hot Veggie","Vegetable","4000",2,"08:37:05","Morning to Afternoon","8000"
1367,"2015-12-08","Gbagada","Chicken Feast","Chicken","2000",3,"08:37:07","Morning to Afternoon","6000"
1368,"2015-12-12","Surulere","Chicken Bali","Chicken","2000",2,"08:37:09","Morning to Afternoon","4000"
1369,"2015-12-05","Surulere","Chicken Legend","Chicken","2000",2,"08:37:09","Morning to Afternoon","4000"
1370,"2015-12-13","Ikoyi","Beef Suya","Beef","3000",3,"08:37:10","Morning to Afternoon","9000"
1371,"2015-12-10","Lekki","Veggie Supreme","Vegetable","3000",3,"08:37:12","Morning to Afternoon","9000"
1372,"2015-12-12","Ikoyi","Margarita","Vegetable","4000",1,"08:37:16","Morning to Afternoon","4000"
1373,"2015-12-13","Gbagada","Pepperoni Suya","Pepperoni/Beef","3000",3,"08:37:18","Morning to Afternoon","9000"
1374,"2015-12-11","Ibadan","Meatzaa","Beef","2000",3,"08:37:19","Morning to Afternoon","6000"
1375,"2015-12-03","Gbagada","Chicken Suya","Chicken","4000",2,"08:37:22","Morning to Afternoon","8000"
1376,"2015-12-06","Surulere","Chicken Legend","Chicken","2000",1,"08:37:23","Morning to Afternoon","2000"
1377,"2015-12-09","Surulere","Meatzaa","Beef","2000",3,"08:37:24","Morning to Afternoon","6000"
1378,"2015-12-10","Lekki","Pepperoni Feast","Salami","4000",5,"08:37:24","Morning to Afternoon","20000"
1379,"2015-12-13","Lekki","BBQ Philly Steak","Beef","4000",1,"08:37:24","Morning to Afternoon","4000"
1380,"2015-12-04","Ikoyi","Margarita","Vegetable","4000",1,"08:37:25","Morning to Afternoon","4000"
1381,"2015-12-09","Ikoyi","Meatzaa","Beef","2000",4,"08:37:28","Morning to Afternoon","8000"
1382,"2015-12-04","Ibadan","Chicken Suya","Chicken","4000",3,"08:37:28","Morning to Afternoon","12000"
1383,"2015-12-03","Surulere","Meatzaa","Beef","2000",2,"08:37:28","Morning to Afternoon","4000"
1384,"2015-12-12","Surulere","Pepperoni Suya","Pepperoni/Beef","3000",1,"08:37:32","Morning to Afternoon","3000"
1385,"2015-12-12","Surulere","Veggie Supreme","Vegetable","3000",3,"08:37:32","Morning to Afternoon","9000"
1386,"2015-12-09","Lekki","Italiano","Tomato/Cheese","3000",1,"08:37:32","Morning to Afternoon","3000"
1387,"2015-12-15","Lekki","Chicken Bali","Chicken","2000",4,"08:37:37","Morning to Afternoon","8000"
1388,"2015-12-04","Lekki","Chicken Feast","Chicken","2000",2,"08:37:37","Morning to Afternoon","4000"
1389,"2015-12-10","Surulere","Chicken Suya","Chicken","4000",1,"08:37:38","Morning to Afternoon","4000"
1390,"2015-12-03","Ibadan","Hot Pepperoni Feast","Salami","4000",5,"08:37:40","Morning to Afternoon","20000"
1391,"2015-12-13","Ibadan","BBQ Chicken","Chicken","4000",1,"08:37:44","Morning to Afternoon","4000"
1392,"2015-12-10","Ibadan","Italiano","Tomato/Cheese","3000",3,"08:37:45","Morning to Afternoon","9000"
1393,"2015-12-12","Gbagada","Italiano","Tomato/Cheese","3000",3,"08:37:46","Morning to Afternoon","9000"
1394,"2015-12-07","Ikoyi","Beef Suya","Beef","3000",4,"08:37:47","Morning to Afternoon","12000"
1395,"2015-12-03","Ibadan","Hot Veggie","Vegetable","4000",3,"08:37:49","Morning to Afternoon","12000"
1396,"2015-12-06","Ibadan","Italiano","Tomato/Cheese","3000",3,"08:37:53","Morning to Afternoon","9000"
1397,"2015-12-14","Surulere","Chicken Bali","Chicken","2000",2,"08:37:55","Morning to Afternoon","4000"
1398,"2015-12-09","Lekki","Meatzaa","Beef","2000",1,"08:37:56","Morning to Afternoon","2000"
1399,"2015-12-13","Gbagada","Chicken Bali","Chicken","2000",1,"08:37:57","Morning to Afternoon","2000"
1400,"2015-12-05","Gbagada","Italiano","Tomato/Cheese","3000",2,"08:38:00","Morning to Afternoon","6000"
1401,"2015-12-13","Gbagada","BBQ Philly Steak","Beef","4000",2,"08:38:00","Morning to Afternoon","8000"
1402,"2015-12-14","Ikoyi","Hot Pepperoni Feast","Salami","4000",4,"08:38:01","Morning to Afternoon","16000"
1403,"2015-12-13","Ikoyi","BBQ Chicken","Chicken","4000",1,"08:38:02","Morning to Afternoon","4000"
1404,"2015-12-11","Ikoyi","BBQ Chicken","Chicken","4000",4,"08:38:04","Morning to Afternoon","16000"
1405,"2015-12-03","Ibadan","Pepperoni Feast","Salami","4000",5,"08:38:06","Morning to Afternoon","20000"
1406,"2015-12-15","Ikoyi","BBQ Philly Steak","Beef","4000",2,"08:38:07","Morning to Afternoon","8000"
1407,"2015-12-04","Surulere","Pepperoni Suya","Pepperoni/Beef","3000",4,"08:38:08","Morning to Afternoon","12000"
1408,"2015-12-05","Surulere","Chicken Feast","Chicken","2000",5,"08:38:10","Morning to Afternoon","10000"
1409,"2015-12-12","Gbagada","Beef Suya","Beef","3000",2,"08:38:12","Morning to Afternoon","6000"
1410,"2015-12-13","Ikoyi","Chicken Legend","Chicken","2000",4,"08:38:12","Morning to Afternoon","8000"
1411,"2015-12-13","Ibadan","Beef Suya","Beef","3000",3,"08:38:14","Morning to Afternoon","9000"
1412,"2015-12-14","Surulere","Meatzaa","Beef","2000",3,"08:38:14","Morning to Afternoon","6000"
1413,"2015-12-04","Gbagada","BBQ Philly Steak","Beef","4000",5,"08:38:16","Morning to Afternoon","20000"
1414,"2015-12-15","Lekki","Veggie Supreme","Vegetable","3000",4,"08:38:20","Morning to Afternoon","12000"
1415,"2015-12-07","Ikoyi","BBQ Chicken","Chicken","4000",3,"08:38:21","Morning to Afternoon","12000"
1416,"2015-12-09","Surulere","Italiano","Tomato/Cheese","3000",3,"08:38:23","Morning to Afternoon","9000"
1417,"2015-12-14","Ikoyi","Pepperoni Feast","Salami","4000",5,"08:38:24","Morning to Afternoon","20000"
1418,"2015-12-06","Ibadan","Extravaganza","Pepperoni/Beef","2000",1,"08:38:26","Morning to Afternoon","2000"
1419,"2015-12-08","Lekki","Meatzaa","Beef","2000",2,"08:38:32","Morning to Afternoon","4000"
1420,"2015-12-10","Surulere","Hot Pepperoni Feast","Salami","4000",3,"08:38:32","Morning to Afternoon","12000"
1421,"2015-12-04","Ibadan","Beef Suya","Beef","3000",5,"08:38:34","Morning to Afternoon","15000"
1422,"2015-12-13","Lekki","Beef Suya","Beef","3000",4,"08:38:34","Morning to Afternoon","12000"
1423,"2015-12-13","Gbagada","BBQ Philly Steak","Beef","4000",3,"08:38:35","Morning to Afternoon","12000"
1424,"2015-12-07","Gbagada","Hot Pepperoni Feast","Salami","4000",2,"08:38:35","Morning to Afternoon","8000"
1425,"2015-12-11","Gbagada","Italiano","Tomato/Cheese","3000",1,"08:38:37","Morning to Afternoon","3000"
1426,"2015-12-14","Ibadan","Beef Suya","Beef","3000",3,"08:38:39","Morning to Afternoon","9000"
1427,"2015-12-09","Gbagada","BBQ Chicken","Chicken","4000",2,"08:38:40","Morning to Afternoon","8000"
1428,"2015-12-04","Lekki","BBQ Chicken","Chicken","4000",4,"08:38:41","Morning to Afternoon","16000"
1429,"2015-12-04","Ikoyi","Italiano","Tomato/Cheese","3000",2,"08:38:43","Morning to Afternoon","6000"
1430,"2015-12-10","Gbagada","Meatzaa","Beef","2000",3,"08:38:45","Morning to Afternoon","6000"
1431,"2015-12-11","Surulere","Hot Pepperoni Feast","Salami","4000",1,"08:38:46","Morning to Afternoon","4000"
1432,"2015-12-03","Surulere","Chicken Legend","Chicken","2000",3,"08:38:46","Morning to Afternoon","6000"
1433,"2015-12-13","Ikoyi","Hot Pepperoni Feast","Salami","4000",3,"08:38:46","Morning to Afternoon","12000"
1434,"2015-12-04","Ikoyi","Italiano","Tomato/Cheese","3000",5,"08:38:52","Morning to Afternoon","15000"
1435,"2015-12-10","Surulere","Hot Pepperoni Feast","Salami","4000",5,"08:38:52","Morning to Afternoon","20000"
1436,"2015-12-15","Gbagada","Chicken Feast","Chicken","2000",3,"08:38:53","Morning to Afternoon","6000"
1437,"2015-12-09","Gbagada","Hot Pepperoni Feast","Salami","4000",4,"08:38:54","Morning to Afternoon","16000"
1438,"2015-12-08","Surulere","Extravaganza","Pepperoni/Beef","2000",5,"08:38:56","Morning to Afternoon","10000"
1439,"2015-12-05","Ibadan","Extravaganza","Pepperoni/Beef","2000",5,"08:38:56","Morning to Afternoon","10000"
1440,"2015-12-09","Lekki","Chicken Suya","Chicken","4000",2,"08:38:57","Morning to Afternoon","8000"
1441,"2015-12-15","Ikoyi","Chicken Suya","Chicken","4000",2,"08:38:59","Morning to Afternoon","8000"
1442,"2015-12-12","Ikoyi","Meatzaa","Beef","2000",5,"08:39:01","Morning to Afternoon","10000"
1443,"2015-12-09","Ibadan","Pepperoni Suya","Pepperoni/Beef","3000",2,"08:39:02","Morning to Afternoon","6000"
1444,"2015-12-14","Ibadan","Pepperoni Suya","Pepperoni/Beef","3000",4,"08:39:02","Morning to Afternoon","12000"
1445,"2015-12-03","Surulere","Italiano","Tomato/Cheese","3000",4,"08:39:05","Morning to Afternoon","12000"
1446,"2015-12-08","Ibadan","Chicken Bali","Chicken","2000",5,"08:39:08","Morning to Afternoon","10000"
1447,"2015-12-07","Ikoyi","Hot Pepperoni Feast","Salami","4000",5,"08:39:08","Morning to Afternoon","20000"
1448,"2015-12-09","Ikoyi","Pepperoni Feast","Salami","4000",5,"08:39:12","Morning to Afternoon","20000"
1449,"2015-12-10","Ibadan","Beef Suya","Beef","3000",4,"08:39:13","Morning to Afternoon","12000"
1450,"2015-12-07","Ikoyi","Meatzaa","Beef","2000",3,"08:39:14","Morning to Afternoon","6000"
1451,"2015-12-07","Ikoyi","Chicken Bali","Chicken","2000",3,"08:39:14","Morning to Afternoon","6000"
1452,"2015-12-04","Gbagada","Hot Pepperoni Feast","Salami","4000",2,"08:39:14","Morning to Afternoon","8000"
1453,"2015-12-15","Lekki","Beef Suya","Beef","3000",5,"08:39:14","Morning to Afternoon","15000"
1454,"2015-12-10","Surulere","Hot Pepperoni Feast","Salami","4000",2,"08:39:15","Morning to Afternoon","8000"
1455,"2015-12-03","Ikoyi","BBQ Philly Steak","Beef","4000",3,"08:39:16","Morning to Afternoon","12000"
1456,"2015-12-14","Ibadan","Margarita","Vegetable","4000",4,"08:39:17","Morning to Afternoon","16000"
1457,"2015-12-13","Lekki","Chicken Suya","Chicken","4000",3,"08:39:19","Morning to Afternoon","12000"
1458,"2015-12-13","Lekki","Beef Suya","Beef","3000",4,"08:39:22","Morning to Afternoon","12000"
1459,"2015-12-07","Surulere","Extravaganza","Pepperoni/Beef","2000",1,"08:39:23","Morning to Afternoon","2000"
1460,"2015-12-03","Surulere","Meatzaa","Beef","2000",3,"08:39:23","Morning to Afternoon","6000"
1461,"2015-12-14","Lekki","Beef Suya","Beef","3000",1,"08:39:24","Morning to Afternoon","3000"
1462,"2015-12-04","Surulere","Margarita","Vegetable","4000",5,"08:39:24","Morning to Afternoon","20000"
1463,"2015-12-06","Surulere","Hot Pepperoni Feast","Salami","4000",4,"08:39:24","Morning to Afternoon","16000"
1464,"2015-12-09","Surulere","Chicken Legend","Chicken","2000",3,"08:39:26","Morning to Afternoon","6000"
1465,"2015-12-14","Surulere","Chicken Feast","Chicken","2000",2,"08:39:26","Morning to Afternoon","4000"
1466,"2015-12-14","Surulere","Chicken Legend","Chicken","2000",1,"08:39:26","Morning to Afternoon","2000"
1467,"2015-12-08","Lekki","Hot Veggie","Vegetable","4000",4,"08:39:28","Morning to Afternoon","16000"
1468,"2015-12-06","Gbagada","BBQ Chicken","Chicken","4000",4,"08:39:29","Morning to Afternoon","16000"
1469,"2015-12-04","Gbagada","BBQ Philly Steak","Beef","4000",1,"08:39:29","Morning to Afternoon","4000"
1470,"2015-12-06","Lekki","Pepperoni Feast","Salami","4000",5,"08:39:34","Morning to Afternoon","20000"
1471,"2015-12-05","Lekki","Margarita","Vegetable","4000",5,"08:39:35","Morning to Afternoon","20000"
